[18:11:53] config.py (line 370):     INFO: Seed number: 297834
[18:11:53] algorithm.py (line 267):     INFO: Reading input alignment: <_io.TextIOWrapper name='/mnt/lz01/ernakovich/cbaker/alaska_permafrost_incubation/software/sepp-package/ref/gg_13_5_ssu_align_99_pfiltered.fasta' mode='r' encoding='UTF-8'>
[18:11:54] algorithm.py (line 274):     INFO: Reading input tree: <_io.TextIOWrapper name='/mnt/lz01/ernakovich/cbaker/alaska_permafrost_incubation/software/sepp-package/ref/reference-gg-raxml-bl-rooted-relabelled.tre' mode='r' encoding='UTF-8'>
[18:12:12] algorithm.py (line 247):     INFO: Decomposition Sizes are set to alignment: 1000 placement: 5000
[18:12:34] exhaustive.py (line 351):     INFO: Breaking into 62 placement subsets.
[18:12:47] exhaustive.py (line 398):     INFO: Breaking into 292 alignment subsets.
[18:12:47] filemgr.py (line 129):     INFO: Root temp directory built: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd
[18:12:47] exhaustive.py (line 413):     INFO: Breaking each alignment subset into 3 fragment chunks.
[18:13:11] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd/root/P_1/A_1_0/hmmbuild.input.ud_fku6j.fasta
[18:13:11] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd/root/P_0/A_0_2/hmmbuild.input.g13_u6oc.fasta
[18:13:11] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd/root/P_1/A_1_3/hmmbuild.input.enx0bw1g.fasta
[18:13:11] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd/root/P_1/A_1_2/hmmbuild.input.vpkbnm3v.fasta
[18:13:11] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd/root/P_1/A_1_1/hmmbuild.input.cmfbyhwc.fasta
[18:13:11] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /tmp/tmp.qsni3Prdwe/sepp-tempssd-tMHgFxXkkc/ps3_pruned_modified.k0nmfoqd/root/P_2/A_2_2/hmmbuild.input.1o8yqac1.fasta
