process,sample,site,tiJR,value
Homogeneous_selection,EAFB-Ti,EAFB,Ti,40
Heterogeneous_selection,EAFB-Ti,EAFB,Ti,0
Homogenizing_dispersal,EAFB-Ti,EAFB,Ti,0
Dispersal_limited_Drift,EAFB-Ti,EAFB,Ti,40
Drift_alone,EAFB-Ti,EAFB,Ti,20
Homogeneous_selection,EAFB-Tf,EAFB,Tf,60
Heterogeneous_selection,EAFB-Tf,EAFB,Tf,0
Homogenizing_dispersal,EAFB-Tf,EAFB,Tf,0
Dispersal_limited_Drift,EAFB-Tf,EAFB,Tf,0
Drift_alone,EAFB-Tf,EAFB,Tf,40
Homogeneous_selection,PT45-Ti,PT45,Ti,100
Heterogeneous_selection,PT45-Ti,PT45,Ti,0
Homogenizing_dispersal,PT45-Ti,PT45,Ti,0
Dispersal_limited_Drift,PT45-Ti,PT45,Ti,0
Drift_alone,PT45-Ti,PT45,Ti,0
Homogeneous_selection,PT45-Tf,PT45,Tf,93.33333333
Heterogeneous_selection,PT45-Tf,PT45,Tf,0
Homogenizing_dispersal,PT45-Tf,PT45,Tf,0
Dispersal_limited_Drift,PT45-Tf,PT45,Tf,6.666666667
Drift_alone,PT45-Tf,PT45,Tf,0
Homogeneous_selection,PT27-Ti,PT27,Ti,100
Heterogeneous_selection,PT27-Ti,PT27,Ti,0
Homogenizing_dispersal,PT27-Ti,PT27,Ti,0
Dispersal_limited_Drift,PT27-Ti,PT27,Ti,0
Drift_alone,PT27-Ti,PT27,Ti,0
Homogeneous_selection,PT27-Tf,PT27,Tf,100
Heterogeneous_selection,PT27-Tf,PT27,Tf,0
Homogenizing_dispersal,PT27-Tf,PT27,Tf,0
Dispersal_limited_Drift,PT27-Tf,PT27,Tf,0
Drift_alone,PT27-Tf,PT27,Tf,0
Homogeneous_selection,JR-Ti,JR,Ti,33.33333333
Heterogeneous_selection,JR-Ti,JR,Ti,6.666666667
Homogenizing_dispersal,JR-Ti,JR,Ti,13.33333333
Dispersal_limited_Drift,JR-Ti,JR,Ti,0
Drift_alone,JR-Ti,JR,Ti,46.66666667
Homogeneous_selection,JR-Tf,JR,Tf,13.33333333
Heterogeneous_selection,JR-Tf,JR,Tf,0
Homogenizing_dispersal,JR-Tf,JR,Tf,13.33333333
Dispersal_limited_Drift,JR-Tf,JR,Tf,0
Drift_alone,JR-Tf,JR,Tf,73.33333333
Homogeneous_selection,BEO-Ti,BEO,Ti,100
Heterogeneous_selection,BEO-Ti,BEO,Ti,0
Homogenizing_dispersal,BEO-Ti,BEO,Ti,0
Dispersal_limited_Drift,BEO-Ti,BEO,Ti,0
Drift_alone,BEO-Ti,BEO,Ti,0
Homogeneous_selection,BEO-Tf,BEO,Tf,100
Heterogeneous_selection,BEO-Tf,BEO,Tf,0
Homogenizing_dispersal,BEO-Tf,BEO,Tf,0
Dispersal_limited_Drift,BEO-Tf,BEO,Tf,0
Drift_alone,BEO-Tf,BEO,Tf,0
